,Index,Institute code,College Name,Address,Email,District,Principal Name,Office Number,Personal Number,Registrar Name
94,95,3169,"Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application, Bandra (E), Mumbai","S.No 341, Next to New English School,Opp. Kherwadi police station Govt. Colony, Bandra(E), Mumbai  400051",hirayplacement@yahoo.co.in,Mumbai Suburban,Ms. Sonali Mote ,26570986 Ext.- 12,26570892 Ext.- ,ANIL PARAB
95,96,3173,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai","DES's Mumbai Campus, Kirti College Road, Dadar (W), Mumbai.  400028",director@nmitd.edu.in,Mumbai City,Dr. Samadhan Khamkar,62764583 Ext.- ,62764583 Ext.- ,PRASAD KULAKRNI
96,97,3174,"Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai"," Dr. D.Y. Patil Vidyanagar, Sector-7, Phase-I, Nerul, Navi Mumbai",ramraoadik@gmail.com,Thane,Dr. Ramesh Vasappanavara,27709574 Ext.- , Ext.- ,Dr. Tanmay Sinnarkar
97,98,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai","At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai ",principal.cet@mgmmumbai.ac.in,Raigad,Dr. Santosh K. Narayankhedkar,27433421 Ext.- ,65138119 Ext.- ,Dr. Sunita Shinde
98,99,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai","Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",tcet@thakureducation.org,Mumbai Suburban,Dr.B.K.Mishra,67308000 Ext.- 106,67308000 Ext.- 110,Pankaj Singh
99,100,3181,"K.J.Somaiya College of Engineering, Vidyavihar, Mumbai","Vidya_Nagar, Vidya Vihar, Mumbai ",principal.engg@somaiya.edu,Mumbai Suburban,DR. SHUBHA PANDIT,66449191 Ext.- 9005, Ext.- ,SANJAY KAKADE
100,101,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai ",gtthampi@yahoo.com,Mumbai Suburban,Prof. (Dr.) G.T.Thampi,26041631 Ext.- ,26047087 Ext.- ,Manohar Chandwani
101,102,3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai","8, M.H.Saboo Siddik Polytechnic Road, P.O.Box: 4627, Byculla ,Mumbai",aimhssce@gmail.com,Mumbai City,Dr. Mohiuddin Ahmed,23012922 Ext.- 101, Ext.- ,Mr. Syed Wajihuddin
102,103,3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai","Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",crce@fragnel.edu.in,Mumbai Suburban,Dr. Srija Unnikrishnan,67114000 Ext.- ,67114101 Ext.- ,Chandrashekhar Shetty
103,104,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",vesit@vsnl.com,Mumbai Suburban,Dr. (Mrs.) J. M. Nair ,61532532 Ext.- ,61532511 Ext.- 511,Mrs. Asma Parveen I.Siddavatam
104,105,3186,"Indrayani Shikshan Prasarak Mandal Shri Pushpasen Sawant College of Diploma Pharmacy,Kudal","At Post Digas, Tal. Kudal Dist. Sindhudurg Sindhudurg , 400088",indrayanipharmacy@gmail.com,Sindhudurg,Mr.Amit Ashok Shahapurkar,229022 Ext.- 0,229022 Ext.- 0,MRS. NEHA MAHENDRA PARAB
105,106,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai","P.B. No. 15, CIDCO Colony, Plot No. 98, Sector 3,  Airoli, Navi Mumbai ",principaldmce@yahoo.com,Thane,Dr. S. D. Sawarkar,27791662 Ext.- 132, Ext.- ,na
106,107,3188,"Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai","Padmabhushan Vasantdada Patil Education Complex, Eastern Express Highway, Near Everard Nagar,  Sion-Chunabhatti Mumbai ",principal@pvppcoe.ac.in,Mumbai City,Dr. Alam N. Shaikh,24070547 Ext.- 010, Ext.- ,Mr. Shailesh A. Mokashi
107,108,3189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai","Sector - 7,CBD- Belpur, Navi Mumbai 400614 ",principal.bvcoenm@bharatividyapeeth.edu,Thane,Dr.Sandhya D. Jadhav,27572140 Ext.- 103,27571074 Ext.- 103,Mr. Santosh Shahaji Pawar
108,109,3190,"Terna Engineering College, Nerul, Navi Mumbai","Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",principal@terna.org,Thane,Dr. LAKSHMAPPA RAGHA,61115444 Ext.- 401,61115401 Ext.- ,Kavita S.Kadam
109,110,3191,"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe","At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",rscoedegree@gmail.com,Ratnagiri,DR. ANEESH GANGAL,230005 Ext.- 2008,230005 Ext.- 2009,D K Gaikwad
110,111,3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai","Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",contactus@sigce.edu.in,Thane,Dr. Sunil S. Chavan,27543608 Ext.- ,8080949300 Ext.- ,Chandrakant Jadhav
111,112,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai","Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",officessjcoe@gmail.com,Thane,Dr. Bakal Jagdish Wasudeorao,2872560 Ext.- ,2023973 Ext.- , Mr. Shejul F. C.
112,113,3194,"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai Road (W Rly), Tal: Vasai, District Palghar ",vcet_inbox@vcet.edu.in,Palghar,DR HARISH V. VANKUDRE,2338234 Ext.- 111,2338234 Ext.- 111,Mr. Vishal K. Save
113,114,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Sector - 4, Plot N0 17 & 18, Vikas Nagar, Koparkhairane, Navi Mumbai",principal.ltce@gmail.com,Thane,Dr. Vivek K. Sunnapawr,27541005 Ext.- , Ext.- ,Pradeep D. Nangare Patil
114,115,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Sector 9-A,  Vashi, Navi Mumbai,",principalfcrit@gmail.com,Thane,Dr. S.M.KHOT,227771000 Ext.- 123,27771000 Ext.- 123,Neena Biju Nair
115,116,3198,"Konkan Gyanpeeth College of Engineering, Karjat","Vengaon Road, Dahivali, Karjat",principal@kgce.edu.in,Raigad,Dr.Madhukar J.Lengare,222580 Ext.- 202,222580 Ext.- ,A
116,117,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",info@djsce.ac.in,Mumbai Suburban,Dr. Hari Vasudevan,26123892 Ext.- ,26123892 Ext.- ,Mrs. Shreeya Hadkar
117,118,3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri","P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",admin@famt.ac.in,Ratnagiri,DR. KAUSHAL PRASAD,229657 Ext.- ,229569 Ext.- ,Gajanan D Targaonkar
118,119,3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Rizvi Educational Complex, Off Carter Road, Sherly Rajan Village, Bandra (W), Mumbai ",info@eng.rizvi.edu.in,Mumbai Suburban,Dr. Varsha Shah,26043866 Ext.- 140, Ext.- ,Mr.Vaquar Shaikh
119,120,3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",info@rmcet.com,Ratnagiri,Dr. M. M. Bhagwat,269400 Ext.- 202,269609 Ext.- ,Padmanabh Shelar
120,121,3203,"Atharva College of Engineering,Malad(West),Mumbai","S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",ace@atharvaeducation.com,Mumbai Suburban,Dr. SHRIKANT KALLURKAR,40294949 Ext.- 185,40294907 Ext.- 185,ANANDA  KANGANE
121,122,3204,"St. Francis Institute of Technology,Borivali, Mumbai","Mount Poinsur, S.V.P. Road, Borivali ( W ), Mumbai ",sfedu@sfit.ac.in,Mumbai Suburban,Dr.Sincy George,28928585 Ext.- , Ext.- ,-
122,123,3205,"Bharati Vidyapeeth College of Pharmacy, Belapur, Navi Mumbai","Sector 8, C.B.D, Belapur, Dist Thane ",bharaticop@rediffmail.com,Thane,Dr. Vilasrao J. Kadam,27571122 Ext.- 555,27574515 Ext.- ,Patankar G. L.
123,124,3206,"S.S.P.M.'s College of Engineering, Kankavli"," A/P-Harkul Budruk, Tal- Kankavali. Dist-Sindhudurg",sspmcoe@gmail.com,Sindhudurg,Dr. Aneesh C. Gangal,233812 Ext.- , Ext.- ,Shri Sagar Suresh Saikar
124,125,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",principalpce@mes.ac.in,Raigad,Dr. Sandeep M. Joshi,27456100 Ext.- 110,27451700 Ext.- 107,P. Kumaran
125,126,3208,"Don Bosco Institute of Technology, Mumbai","Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai ",dbit@dbit.in,Mumbai Suburban,Dr. Prasanna Nambiar,25042018 Ext.- 113,25040508 Ext.- 113,Mr. Rajendra Tatkare
126,127,3209,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai","Somaiya Auryvihar Complex,  Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",principal.tech@somaiya.edu,Mumbai Suburban,Dr. Suresh K. Ukarande,24080331 Ext.- 401,24061401 Ext.- ,Ankush Gaikwad
127,128,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Mith bunder Road, Near Sadguru Gardens, Kopri, Thane (E)",kcce21@hotmail.com,Thane,Dr. VILAS N. NITNAWARE,25327100 Ext.- 214, Ext.- ,Mahesh Suresh Dalvi
128,129,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Sri. Chandrsekarendra Saraswathy Vidyapuram, Sector-5, Plot 1C&1E, Nerul Dist. Raigad ",principalgst@sies.edu.in,Raigad,Dr. Atul Kemkar,61082400 Ext.- 2401,61082404 Ext.- ,V.Vijayalakshmi
129,130,3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR","Plot No.157,C.H.M.Campus,Opp.Ullhasnagar Rilway Station,Ulhasnagar-421003(W)",principal@watumull.edu,Mumbai City,DR.SUNITA SHARMA,2567670 Ext.- 0251, Ext.- ,Mr.Avinash Gondal
130,131,3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai","Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim(W),   Mumbai",office@xavier.ac.in,Mumbai City,Dr. Y. D. Venkatesh,24451961 Ext.- 201, Ext.- ,Ereena G. Rodrigues
131,132,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai","Bhavan's Campus, Versova Road, Munshi Nagar, Andheri (West), Mumbai",principal@spit.ac.in,Mumbai Suburban,Dr. B N Chaudhari,26287250 Ext.- 305, Ext.- ,Mrs. Pallavi More
132,133,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri","A & Po. Lavel Tal Khed,  Dist. Ratnagiri",principal@git-india.edu.in,Ratnagiri,Dr. Pramod Shriniwas Joshi,262798 Ext.- 101, Ext.- ,Mr. Mangesh S. Gadre
133,134,3217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane","At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",vjtsscoe@rediffmail.com,Thane,Dr. GEETHA K. JAYARAJ,273999 Ext.- 02527,273999 Ext.- 02527,KISHOR JONDHALE
134,135,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar","St. John Technical Education Complex, Village Vevoor,Manor Road  Palghar (E)",office@sjcem.edu.in,Palghar,Dr. G.V. Mulgund,297275 Ext.- 104,0 Ext.- 0,MR. SATISH KUMAR TIWARI
135,136,3219,"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur","Sapgaon, Taluka Shahapur  Dist. Thane",registrar@armiet.com,Thane,Dr. LAVENDRA S BOTHRA,40244310 Ext.- ,40244310 Ext.- ,Ankit Suresh Sanghavi
136,137,3220,"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat","Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",sesytcem@gmail.com,Raigad,Prof. Raju Sairise,321524 Ext.- 02148,321524 Ext.- 02148,vivek dadu sawant
137,138,3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon","Shirgaon, At. Post Virar, Tal. Vasai. Thane ",principalvit@vivacollege.org,Palghar,Dr. Arun Kumar,7770002544 Ext.- 101,7770002544 Ext.- 101,Mr. Mahendra D. Kajare
138,139,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar","At Village Betegaon,Boisar Chillhar Road , Near Union Park,  Boisar(E), Tal: Palghar,",info@theemcoe.org,Palghar,Dr. Aqueel Ahmed Shah,284909 Ext.- 103,284926 Ext.- 103,SHEETAL PATIL
139,140,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"," Pillai HOCL Educational
Campus, Rasayani, Tal. Khalapur. Dist. Raisad-",pragneshshah@mes.ac.in,Raigad,Dr. Madhumita Chatterjee,669000 Ext.- 145,669001 Ext.- ,Mr.Shirish Mayekar
140,141,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat","Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",principalgvaiet@yahoo.com,Raigad,Dr. Rajendra Prasad,229628 Ext.- ,229628 Ext.- ,Swapnil Bafana
141,142,3225,"Saraswathi Vidya Bhavan's College of Pharmacy, Dombivli","Shankaranagar, Shilpada Road, Dombivali (E), Dist : Thane ",svbpharma@rediffmail.com,Thane,Dr.Monita P. Gide  M.Pharm Ph.D.,6515160 Ext.- 21,6515161 Ext.- 21,Dhammadeep Lohbande
142,143,3226,"Mumbai Educational  Trust's Institute of Pharmacy, Mumbai","General Arunkumar Vaidya Chowk, Bandra Reclamation, Bandra (W) Mumbai ",degree_iop@met.edu,Mumbai Suburban,Dr.(Mrs.)Abha Doshi,39554230 Ext.- ,39554226 Ext.- ,Mrs.Manasi Vaidya
143,144,3228,"SVKM's Dr. Bhanuben Nanavati College of Pharmacy, Mumbai","Gate No.1, Mithibai College Campus, 1st Floor, V.M. Road, Vile parle (West), Mumbai",registrar@bncp.ac.in,Mumbai Suburban,Dr. Munira Momin,42332052 Ext.- 2053,42332052 Ext.- 2053,Reshma Sidhwani
144,145,3229,"Dr. L. H. Hiranandani College of Pharmacy ,Ulhasnagar","C.H.M. College Campus, Opp. Ulhasnagar Railway Station Ulhasnagar Dist : Thane ",dlhhcop@hsncb.com,Thane,Dr. Parag S. Gide,2733963 Ext.- , Ext.- ,Dr. L. H. Hiranandnai College of Pharmacy 
145,146,3230,"NCRD's Sterling Institute of Pharmacy, Navi Mumbai","Plot 93 sector 19 Nerul(E), Navi Mumbai ",ncrdsipoffice@gmail.com,Thane,Dr. M.S.Gadge,27715308 Ext.- 208,9819939298 Ext.- ,Dr. Suvarna Phadtare
146,147,3231,"Oriental College of Pharmacy , Navi Mumbai","Plot No. 2,3 & 4 , Sector 2, Sanpada, Navi Mumbai  Dist. Raigad",admin.ocp@oes.ac.in,Raigad,Dr.(Mrs.) Sudha Rathod,27753117 Ext.- 226,27758215 Ext.- 226,surekha gaikwad
147,148,3232,"Yadavrao Tasgaonkar Institute of Pharmacy,Chandhai, Bhiv-puri Road Station, Tal-Karjat","Dr.N.Y.Tasgaonkar Education Complex, Village Chandhai,Near Bhivpuri Road Rly station,Tal-Karjat,(on Mumbai-Pune Rly Rout) Dist. Raigad",nanduyt@hotmail.com,Raigad,Dr. Rupali R.Tasgaonkar,7350833666 Ext.- ,7350833666 Ext.- ,Mr. Satywan Sawant 
148,149,3233,"Govindrao Nikam College Of Pharmacy, Sawarde",Sawarde (Wahalphata) Tal. Chiplun Dist. Ratnagiri ,sssdgpharmacy@rdiffmail.com,Ratnagiri,Dr. BATTASE ANIL PURSHOTTAM,264163 Ext.- ,264163 Ext.- ,WAGHCHOURE PRAVIN S
149,150,3234,"Maharashtra Education Society's H.K. College of Pharmacy, Jogeshwari, Mumbai","Prateeksha Nagar, New MHADA Colony, transit camp, Jogeshwari, Mumbai ",anubha.khale@hkcp.edu.in,Mumbai Suburban,DR. ANUBHA R. KHALE,26788462 Ext.- 22,26774639 Ext.- 34,MR. AYUB CHOUGULE
150,151,3235,"Gahlot Institute of Pharmacy, Koparkhairane, Navi Mumbai","Plot No 59 , Sector  14,  Koparkhairane,Navi Mumbai ",gahlot_pharma@rediffmail.com,Thane,Dr. V.H.Bhaskar,27550816 Ext.- 202,27550819 Ext.- ,Mrs.Chhaya Waghmare
151,152,3236,"Konkan Gyanpeeth Rahul Dharkar College of Pharmacy & Research Institute, Karjat, Dahivali, Karjat  Dist. Raigad","Vengaon Road, Dahivali, Karjat, Dist. Raigad ",p.kgrdcp@gmail.com,Raigad,Dr.Mohan K.Kale,220312 Ext.- , Ext.- ,SHIVRAM S. PATIL
152,153,3237,"Vivekanand Education Society's College of Pharmacy, Chembur, Mumbai","Hashu Advani Memo Complex, Behind Collector Colony, Wadhawali Village, Chembur Mumbai ",vespharm@yahoo.co.in,Mumbai Suburban,Dr. Supriya Shidhaye,61144144 Ext.- 209,25241533 Ext.- ,MILIND GHADI
153,154,3238,"Adarsh Shikshan Prasarak Mandal's Ideal College of Pharmacy & Research, Ambernath","Bhalgaon At/Post - Dwarli, Haji Malang Road, Kalyan Rly. Station  Dist- Thane ",principal_icpr@idealcollege.in,Thane,Dr. Smita Takarkhede,7718838222 Ext.- ,8779515266 Ext.- ,Mr. Sanjay Tiwari
154,155,3239,"Prabhodhan Shikshan Prasarak Sanshta's Indira Institute of Pharmacy, Sadavali","A/P Sadavali (Devrukh) Taluka: Sangmeshwar, Dist. Ratnagiri",info@iip.ind.in,Ratnagiri,Dr. B. C. Hatapakki,261799 Ext.- 201,261499 Ext.- 202,MAYURESH BHOPALKAR
155,156,3240,"Aldel Education Trust's St. John Institute of Pharmacy and Research, Vevoor, Palghar","St. John Technical Education Complex, Village Vevoor,Manor Road, Palghar (E), ",office@sjipr.edu.in,Palghar,Dr. (Mrs.) Savita Josephine Tauro,256792 Ext.- 200,256792 Ext.- 200,MR. SATISH KUMAR TIWARI
156,157,3241,"Vighnarta Trust, Shivajirao Jondhale College of Pharmacy, Shahapur","Shahpur, Opp. Asangaon Rly Station,  Shahpur, Dist. Thane ",vjtsscoe@rediffmail.com,Thane,DR. JAGDEVAPPA S PATIL,273999 Ext.- ,26459999 Ext.- ,Kalpana S. Londhe
157,158,3242,"Shri Rishikesh Shikshan Prasarak Mandal, D.D.Vispute College of Pharmacy & Research Center, (Devad),New Panvel","Gat No. 104, AT Post Devad,Vichumbe, Near New Panvel, Tal-Panvel, Dist-Raigad",ashish_aeish@rediffmail.com,Raigad,Dr. Ashish S. Jain,27462888 Ext.- ,27468870 Ext.- ,prasad mhatre
158,159,3243,"Padmshree Dr. D. Y. Patil College of Architecture, Navi Mumbai","Padmshree Dr. D. Y. Patil College of Architecture,  Padmashree Dr. D. Y. Patil Vidyapeeth Campus, Sector - 7,Nerul, Navi Mumbai.Dist. Raigad",principaldypca@gmail.com,Raigad,Prof. S.V.CHAUDHARI,27709594 Ext.- ,27709454 Ext.- ,D. D. Kolte
159,160,3244,"Bharati Vidyapeeth's College of Architecture, Belapur, Navi Mumbai","Sector-8,C.B.D.,Belapur, Opp.Konkan Bhavan. Navi Mumbai  Dist. Raigad ",principal.bvcoa@gmail.com,Raigad,Mrs.Ritu Deshmukh,27571451 Ext.- , Ext.- ,Mr.Suresh More
160,161,3245,"Mahatma Education Society's Pillais College of Architecture, New Panvel","Pillais College of Architecture Dr. K.M.Vasudevan Pillai's Campus, 10, Sector 16, New Panvel, Navi Mumbai Dist. Raigad",pica.panvel@gmail.com,Raigad,(Dr.) Sudnya Mahimkar,27456100 Ext.- 122, Ext.- ,Virginia Fernandes
161,162,3246,"Rizvi College of Architecture,Bandra(W), Mumbai","Rizvi Educational  Complex, Off Carter Road, Bandra (W), Mumbai",rizviarchitecture@gmail.com,Mumbai Suburban,Mohin Merchant,26050624 Ext.- , Ext.- ,Tabrez Khan
162,163,3247,"Kamla Raheja Vidhyanidhi  Institute for Architecture and Environmental Studies, Mumbai","Vidyanidhi Marg, J.V.P.D. Scheme, 10th Road, Mumbai ",admin@krvia.ac.in,Mumbai Suburban,Mr. Aneerudha Paul - Director,26700918 Ext.- ,26700918 Ext.- ,Rasika Pande
163,164,3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai","Sr No. 351,Opp Kherwadi Police Station,  Next to New English School, Govt. Colony, Bandra (E), Mumbai",hirayarch@yahoo.co.in,Mumbai Suburban,Ar. Sunil Magdum,26570986 Ext.- , Ext.- ,ANIL PARAB
164,165,3249,"Indian Education Society's College of Architecture, Mumbai","VML Vidyasankul Opp. Leelavati Hospital, 791, Bandra Reclamation, Bandra (W), Mumbai ",iescoa@ies.edu,Mumbai Suburban,IES COLLEGE OF ARCHITECTURE,26561856 Ext.- 858,26561717 Ext.- 851,KALPANA PITALE
165,166,3250,The Sultan Khan Educational Trust's Asmita College of Architecture,"At NH English Academy Campus, Asmita Enclave, Mira Road(E) Dist. Thane",asmitaarch@yahoo.com,Thane,Ar. Vinayak Nabar, Ext.- ,28126464 Ext.- ,.
166,167,3251,"L.S. Raheja School of Architecture, Bandra(E), Mumbai","Raheja Educational Complex, Kher Nagar, Opp.Colgate  Pamolive Ground, Bandra(E), Mumbai.",rahejaarch@lsrsa.edu.in,Mumbai Suburban,Prof. Mandar V. Parab,61966666 Ext.- 103, Ext.- ,Dashrath Kudtarkar
167,168,3252,"Samayak Sankalp College of Architecture, Aadivali, Ambernath","At post Aadivali, Taluka Ambernath, Dist. Thane",ssc_architecture@rediffmail.com,Thane,Prof.H.B.BHOGLE,2350412 Ext.- , Ext.- ,Shri. P.H.Thorat
168,169,3255,"Mandar Education Society's Rajaram Shinde  Institute of Engineering and Technology, Pedhambe","Mandar Education Society's, Rajaram Shinde Instt of Engg  Ratnagiri , 415603",mandar.rsiet@gmail.com,Ratnagiri,Mr. NALAWADE R. B.,230003 Ext.- 2067, Ext.- ,Mr. Bhure P. S. 
169,170,3256,"Bharati Vidyapeeth's Institute of Technology, Navi Mumbai","Belpada, C. B. D. SECTOR - 7, OPP. Kharghar Railway Station, Navi Mumbai.",bvitmumai@yahoo.com,Thane,Mr.P.N.Tandon,27572434 Ext.- 169,27580126 Ext.- ,Dilip Ganpat Mahadik
170,171,3257,"Vidya Prasarak Mandal's Polytechnic, Thane","Chendani, Bunder Road, Jnanadweepa , College Campus Thane , 400601",vpmpoly@vpmthane.org,Thane,Dr. D.K. Nayak,25364494 Ext.- 302,25446551 Ext.- ,Ms. Sunanda Dabhade
171,172,3258,"Agnel Polytechnic (Fr. Agnel Charities) , Vashi, Navi Mumbai","Sector 9A, Vashi, Navi Mumbai",423agnel@gmail.com,Thane,Mrs. Saly Antony,27771000 Ext.- 121,27771000 Ext.- 121,Swapnali P. Thottam
172,173,3260,"Khalapur Taluka Shikshan Prasarak Mandal's,  B.L. Patil Polytechnic, Khopoli, Dist.Raigad","Near Old Police Station, Khopoli,Raigad  410203",ktspkpk@rediffmail.com,Raigad,Prof. Prashant S. Mane,266157 Ext.- 00,266157 Ext.- 00,Mr.S.L.Murade
173,174,3262,"Vidyavardhini's Bhausaheb Vartak Polytechnic, Vasai,Thane","Vidyavardhini's  Campus , Vasai Road (W.Rly) Thane , 401202",vbvpolytechnic@rediffmail.com,Palghar,Mr. P. M. Patidar,2334291 Ext.- ,6554946 Ext.- ,M.B. Vartak
174,175,3263,"Smarth Samaj's S. H. Jondhale Polytechnic, Dombivli","S. S. Jondhale Educational Complex,Shastri Nagar,Dombivli(W) Thane , 421202",shjptech@yahoo.co.in,Thane,MR.MAGAR D. C.,2491544 Ext.- ,2489999 Ext.- 641,MR.PATARE L. E.
175,176,3264,Sahyadri Shikshan Sanstha's Sahyadri Poly.Sawarde(Ratnagiri)," Technical Campus ,  Sawarde (Vahal Phata), Tal:Chiplun, Ratnagiri , 415606",0108principal@msbte.com,Ratnagiri,Mr.BHOSALE  M. R.,264173 Ext.- ,264400 Ext.- ,Mr. Yashawantrao N.A.
176,177,3267,"Sai Shiva Education Trust's, Muchhala Polytechnic,Thane","Sai Baba Vihar Complex, Anandnagar Thane , 400601",muchhalapolytechnic@gmail.com,Thane,Mr. R.S.Bawaskar,25973939 Ext.- 666,25973939 Ext.- 666,Mr D.D Verma
177,178,3268,"Samarth. Samaj's. Shivajirao S. Jondhale Polytechnic, Ambernath(E), Mumbai","Navare Nagar, B Cabin Road, Ambernath(E),Thane , 421501",147.principal.poly@gmail.com,Thane,Mr. Nandarge R.K.,2685004 Ext.- ,2687385 Ext.- ,Mr.M.N.Pathare
178,179,3270,"Maratha Mandir's Babasaheb Gawade Institute of Technology, Mumbai","Maratha Mandir annex,Babasaheb Gawade Chowk,  Mumbai , 400008",ajit.parab@mmbgims.com,Mumbai City,Mr.Ajit Bhikaji Parab,66044100 Ext.- ,66044100 Ext.- ,Yogesh Sawant
179,180,3272,"Ramrao Adik Education Society's Dr. D.Y.Patil Polytechnic, Nerul","Dr. D.Y.Patil Vidyanagar, Sector-7, Phase-1, Nerul,New Mumbai 400706",dypatilpolytechnic@rediffmail.com,Thane,N.P. VETALE,27709592 Ext.- ,27719596 Ext.- ,UDAY SHENDE
180,181,3274,"Vidyalankar Polytechnic, Mumbai","Vidyalankar Educational Campus,Antop Hill, Wadala, Vidyalankar Marg, Mumbai , 400037",principal@vpt.edu.in,Mumbai City,Ashish Ukidve,24161126 Ext.- 2001, Ext.- ,VIJAY PATIL
181,182,3275,"Kala Vidyamandir Institute of Technology (Polytechnic), Malad(W), Mumbai","MHADA World Bank project, Plot  No. M3, RSC,Gaekwad Nagar, Malad(W),Mumbai , 400095",kvmitprinicipal@rediffmail.com,Mumbai Suburban, S. N. GORE,28440012 Ext.- ,28440012 Ext.- ,P.T.NALE
182,183,3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly","Navghar,Bhayander(E), Thane , 401105",info@prppolytechnic.com,Thane,MRS. R. B. PATIL,28044871 Ext.- ,28044871 Ext.- ,MR. RAJESH BHOIR
183,184,3278,"Anjuman-I-Islam's Abdul Razzak Kalsekar Polytechnic,Panvel, Navi Mumbai","Plot No. 3,  Sector-16, Near Garden Hotel ,Khanda Gaon Raigad , 410206",principal.aiarkp@gmail.com,Raigad,Mr. Ramjan Khatik ,27454670 Ext.- ,27481508 Ext.- 201,Nematullah Ataullah
